elapsed_s,timestamp,replicas,ready_replicas,cpu_total_m,cpu_per_pod_m,pods_measured
0,2026-05-04T00:00:00,1,0,27,27,1
5,2026-05-04T00:00:05,1,0,27,27,1
10,2026-05-04T00:00:10,1,0,20,20,1
15,2026-05-04T00:00:15,1,0,21,21,1
20,2026-05-04T00:00:20,1,0,26,26,1
25,2026-05-04T00:00:25,1,0,25,25,1
30,2026-05-04T00:00:30,1,0,25,25,1
35,2026-05-04T00:00:35,1,0,339,339,1
40,2026-05-04T00:00:40,1,0,371,371,1
45,2026-05-04T00:00:45,1,0,371,371,1
50,2026-05-04T00:00:50,2,1,368,184,2
55,2026-05-04T00:00:55,2,1,323,161,2
60,2026-05-04T00:01:00,3,2,352,117,3
65,2026-05-04T00:01:05,3,2,348,116,3
70,2026-05-04T00:01:10,4,3,384,96,4
75,2026-05-04T00:01:15,4,3,413,103,4
80,2026-05-04T00:01:20,5,4,408,81,5
85,2026-05-04T00:01:25,5,4,364,72,5
90,2026-05-04T00:01:30,5,4,354,70,5
95,2026-05-04T00:01:35,5,4,334,66,5
100,2026-05-04T00:01:40,5,4,20,4,5
105,2026-05-04T00:01:45,4,3,20,5,4
110,2026-05-04T00:01:50,4,3,23,5,4
115,2026-05-04T00:01:55,1,0,22,22,1
120,2026-05-04T00:02:00,1,0,23,23,1
125,2026-05-04T00:02:05,1,0,26,26,1
130,2026-05-04T00:02:10,1,0,24,24,1
135,2026-05-04T00:02:15,1,0,24,24,1
140,2026-05-04T00:02:20,1,0,22,22,1
145,2026-05-04T00:02:25,1,0,20,20,1
150,2026-05-04T00:02:30,1,0,22,22,1
155,2026-05-04T00:02:35,1,0,21,21,1
160,2026-05-04T00:02:40,1,0,24,24,1
165,2026-05-04T00:02:45,2,1,413,206,2
170,2026-05-04T00:02:50,5,4,378,75,5
175,2026-05-04T00:02:55,5,4,325,65,5
180,2026-05-04T00:03:00,5,4,402,80,5
185,2026-05-04T00:03:05,5,4,392,78,5
190,2026-05-04T00:03:10,5,4,385,77,5
195,2026-05-04T00:03:15,5,4,403,80,5
200,2026-05-04T00:03:20,5,4,388,77,5
205,2026-05-04T00:03:25,5,4,391,78,5
210,2026-05-04T00:03:30,5,4,344,68,5
215,2026-05-04T00:03:35,5,4,411,82,5
220,2026-05-04T00:03:40,5,4,409,81,5
225,2026-05-04T00:03:45,5,4,323,64,5
230,2026-05-04T00:03:50,5,4,25,5,5
235,2026-05-04T00:03:55,4,3,25,6,4
240,2026-05-04T00:04:00,4,3,23,5,4
245,2026-05-04T00:04:05,1,0,24,24,1
250,2026-05-04T00:04:10,1,0,23,23,1
255,2026-05-04T00:04:15,1,0,27,27,1
260,2026-05-04T00:04:20,1,0,24,24,1
265,2026-05-04T00:04:25,1,0,26,26,1
270,2026-05-04T00:04:30,1,0,22,22,1
275,2026-05-04T00:04:35,1,0,26,26,1
280,2026-05-04T00:04:40,1,0,26,26,1
285,2026-05-04T00:04:45,1,0,23,23,1
290,2026-05-04T00:04:50,1,0,24,24,1
295,2026-05-04T00:04:55,1,0,27,27,1
300,2026-05-04T00:05:00,1,0,25,25,1
305,2026-05-04T00:05:05,1,0,23,23,1
