elapsed_s,timestamp,replicas,ready_replicas,cpu_total_m,cpu_per_pod_m,pods_measured
0,2026-05-04T00:00:00,1,0,21,21,1
5,2026-05-04T00:00:05,1,0,24,24,1
10,2026-05-04T00:00:10,1,0,21,21,1
15,2026-05-04T00:00:15,1,0,25,25,1
20,2026-05-04T00:00:20,1,0,24,24,1
25,2026-05-04T00:00:25,1,0,23,23,1
30,2026-05-04T00:00:30,1,0,24,24,1
35,2026-05-04T00:00:35,1,0,367,367,1
40,2026-05-04T00:00:40,1,0,310,310,1
45,2026-05-04T00:00:45,1,0,363,363,1
50,2026-05-04T00:00:50,1,0,372,372,1
55,2026-05-04T00:00:55,1,0,362,362,1
60,2026-05-04T00:01:00,1,0,400,400,1
65,2026-05-04T00:01:05,1,0,385,385,1
70,2026-05-04T00:01:10,1,0,346,346,1
75,2026-05-04T00:01:15,1,0,330,330,1
80,2026-05-04T00:01:20,1,0,319,319,1
85,2026-05-04T00:01:25,2,1,393,196,2
90,2026-05-04T00:01:30,2,1,380,190,2
95,2026-05-04T00:01:35,4,3,371,92,4
100,2026-05-04T00:01:40,4,3,23,5,4
105,2026-05-04T00:01:45,4,3,24,6,4
110,2026-05-04T00:01:50,4,3,21,5,4
115,2026-05-04T00:01:55,4,3,24,6,4
120,2026-05-04T00:02:00,4,3,21,5,4
125,2026-05-04T00:02:05,4,3,24,6,4
130,2026-05-04T00:02:10,4,3,24,6,4
135,2026-05-04T00:02:15,4,3,25,6,4
140,2026-05-04T00:02:20,4,3,22,5,4
145,2026-05-04T00:02:25,4,3,21,5,4
150,2026-05-04T00:02:30,4,3,22,5,4
155,2026-05-04T00:02:35,4,3,25,6,4
160,2026-05-04T00:02:40,4,3,24,6,4
165,2026-05-04T00:02:45,4,3,386,96,4
170,2026-05-04T00:02:50,4,3,352,88,4
175,2026-05-04T00:02:55,4,3,349,87,4
180,2026-05-04T00:03:00,4,3,404,101,4
185,2026-05-04T00:03:05,4,3,324,81,4
190,2026-05-04T00:03:10,4,3,328,82,4
195,2026-05-04T00:03:15,4,3,369,92,4
200,2026-05-04T00:03:20,4,3,374,93,4
205,2026-05-04T00:03:25,4,3,352,88,4
210,2026-05-04T00:03:30,4,3,366,91,4
215,2026-05-04T00:03:35,4,3,353,88,4
220,2026-05-04T00:03:40,4,3,378,94,4
225,2026-05-04T00:03:45,4,3,401,100,4
230,2026-05-04T00:03:50,4,3,26,6,4
235,2026-05-04T00:03:55,4,3,25,6,4
240,2026-05-04T00:04:00,4,3,23,5,4
245,2026-05-04T00:04:05,4,3,27,6,4
250,2026-05-04T00:04:10,4,3,23,5,4
255,2026-05-04T00:04:15,4,3,24,6,4
260,2026-05-04T00:04:20,4,3,26,6,4
265,2026-05-04T00:04:25,4,3,25,6,4
270,2026-05-04T00:04:30,4,3,23,5,4
275,2026-05-04T00:04:35,4,3,25,6,4
280,2026-05-04T00:04:40,4,3,24,6,4
285,2026-05-04T00:04:45,4,3,26,6,4
290,2026-05-04T00:04:50,4,3,24,6,4
295,2026-05-04T00:04:55,4,3,24,6,4
300,2026-05-04T00:05:00,4,3,27,6,4
305,2026-05-04T00:05:05,4,3,24,6,4
